Localizacao;Id;Titulo;IsDeleted;CreatedAt;CreatedBy;UpdatedAt;UpdatedBy;Titulo;Localizacao;Propriedade;IsDisponivel;LivroAutorId;LivroGeneroId
4645;b74c05a9-3cfd-4ae3-8edb-fb06e3d6c759;JOGOS VORAZES;f;2022-06-02 15:47:15.91785;9ba43350-26f3-4ade-9225-e5dc63f1115d;2022-06-02 15:47:15.917912;9ba43350-26f3-4ade-9225-e5dc63f1115d;JOGOS VORAZES;4645;PRC;t;1ee9f565-a01b-82bd-89f6-900e31306490;79db3772-6538-8f98-038a-513050747f33
60;01ab909e-3c29-5f65-1e16-d01b02856535;O CORTICO;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.098963;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O CORTICO;60;PRC;t;dc956f8a-86b5-8138-364d-911378040249;68674d63-2e40-a644-07c9-e72d8e200c9e
185;0c80dac0-389f-723f-8a79-bd17842b2dad;O GUARANI;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.098987;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O GUARANI;185;PRC;t;e8be2384-8ff5-86eb-514a-449419719bc7;68674d63-2e40-a644-07c9-e72d8e200c9e
1391;0e181090-6d16-33ff-0255-879c8dca9603;A CAPSULA DO TEMPO;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.098999;e530b7d1-75cf-42d6-9567-51ba55c5e34c;A CAPSULA DO TEMPO;1391;PRC;t;65a0cd04-64b1-26b5-3f6a-26a126fe919e;c68ca414-566e-8a6c-54cf-10dc568d4a6f
873;190e3667-18ee-a2a1-864e-bf05fe1b47aa;A BIBLIA: PALAVRA DE DEUS OU DE HOMEM?;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.098993;e530b7d1-75cf-42d6-9567-51ba55c5e34c;A BIBLIA: PALAVRA DE DEUS OU DE HOMEM?;873;PRC;t;56e00150-68aa-9b7d-417c-e7c808efa067;1a33914e-16a9-23cb-20b7-e9b7939e1e58
2251;02769059-6ad9-3c3e-37f7-ddd300e7a3de;A CULPA E DAS ESTRELAS;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099005;e530b7d1-75cf-42d6-9567-51ba55c5e34c;A CULPA E DAS ESTRELAS;2251;PRC;t;9644e92a-8ff9-5e7a-7d62-0703d14a78bb;68674d63-2e40-a644-07c9-e72d8e200c9e
1056;03117283-6271-464c-6cd9-38e8054c8276;A LUTA COTRA A FOME;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099017;e530b7d1-75cf-42d6-9567-51ba55c5e34c;A LUTA COTRA A FOME;1056;PRC;t;cf34ed54-94e3-7f5c-7341-e878d7ff6f5f;96abf6cd-3a48-0b84-345c-611565e710e8
374;02af3d7b-4edf-8cae-42d3-cb5a54ab7559;A MONTANHA DAS DUAS CABECAS;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099026;e530b7d1-75cf-42d6-9567-51ba55c5e34c;A MONTANHA DAS DUAS CABECAS;374;PRC;t;c7484d3d-8443-7232-5934-a06df2819838;c68ca414-566e-8a6c-54cf-10dc568d4a6f
2010;0200f47b-83a7-a30c-6141-e04800fa3657;AS SUAS VESTES OU AS MINHAS;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099041;e530b7d1-75cf-42d6-9567-51ba55c5e34c;AS SUAS VESTES OU AS MINHAS;2010;PRC;t;6267e301-4f23-3f10-1771-c24457397138;1a33914e-16a9-23cb-20b7-e9b7939e1e58
2001;0572a046-25af-4f30-243a-16a00e4d3dd0;AGUA PARA ELEFANTES;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099044;e530b7d1-75cf-42d6-9567-51ba55c5e34c;AGUA PARA ELEFANTES;2001;PRC;t;786b1def-818d-0a7f-5496-855166958d8b;68674d63-2e40-a644-07c9-e72d8e200c9e
